ano,cod_regiao,nome_regiao,cod_uf,nome_uf,cod_meso,nome_meso,cod_micro,nome_micro,cod_mun,cod_mundv,nome_mun
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25020,Litoral Norte,250890,2508901,Mamanguape
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,250900,2509008,Manaíra
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25020,Litoral Norte,250905,2509057,Marcação
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25021,Sapé,250910,2509107,Mari
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,250915,2509156,Marizópolis
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25017,Campina Grande,250920,2509206,Massaranduba
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25020,Litoral Norte,250930,2509305,Mataraca
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25015,Brejo Paraibano,250933,2509339,Matinhas
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,250937,2509370,Mato Grosso
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,250939,2509396,Maturéia
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25018,Itabaiana,250940,2509404,Mogeiro
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25014,Esperança,250950,2509503,Montadas
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,250960,2509602,Monte Horebe
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,250970,2509701,Monteiro
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,250980,2509800,Mulungu
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25019,Umbuzeiro,250990,2509909,Natuba
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251000,2510006,Nazarezinho
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25012,Curimataú Ocidental,251010,2510105,Nova Floresta
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25005,Piancó,251020,2510204,Nova Olinda
2015,2,Nordeste,25,Paraíba,2502,Borborema,25009,Seridó Oriental Paraibano,251030,2510303,Nova Palmeira
